1.15,0.25,0.65,2.75,51.82
2.45,0.25,0.65,2.75,48.15
1.15,0.55,0.65,2.75,53.86
2.45,0.55,0.65,2.75,43.92
1.15,0.25,1.55,2.75,59.79
2.45,0.25,1.55,2.75,56.53
1.15,0.55,1.55,2.75,51.23
2.45,0.55,1.55,2.75,59.07
1.15,0.25,0.65,6.25,51.31
2.45,0.25,0.65,6.25,49.37
1.15,0.55,0.65,6.25,55.90
2.45,0.55,0.65,6.25,47.14
1.15,0.25,1.55,6.25,55.58
2.45,0.25,1.55,6.25,50.65
1.15,0.55,1.55,6.25,54.09
2.45,0.55,1.55,6.25,50.10
0.50,0.40,1.10,4.50,50.98
3.10,0.40,1.10,4.50,52.15
1.80,0.10,1.10,4.50,53.76
1.80,0.70,1.10,4.50,49.38
1.80,0.40,0.20,4.50,46.46
1.80,0.40,2.00,4.50,59.66
1.80,0.40,1.10,1.00,57.60
1.80,0.40,1.10,8.00,47.45
1.80,0.40,1.10,4.50,52.16
